question_concept_id,question_name,obs_value_coded_id,obs_value_coded,display_order
5,Asthma,7605,New diagnosis,9277.0
5,Asthma,6408,Other,9278.0
5,Asthma,7603,Infective exacerbation,9279.0
5,Asthma,7604,Non-infective exacerbation,9280.0
12,Chest xray,1115,Normal,1.0
12,Chest xray,1136,Pleural effusion,2.0
12,Chest xray,1137,Miliary changes,3.0
12,Chest xray,5158,Evidence of cardiac enlargement,4.0
12,Chest xray,5622,Other non-coded,5.0
12,Chest xray,6049,Infiltrate,6.0
12,Chest xray,6050,Diffuse non-miliary changes,7.0
12,Chest xray,6052,Cavitary lesion,8.0
12,Chest xray,1118,NOT done,2363.0
12,Chest xray,2468,Fibrosis,3057.0
12,Chest xray,161,Lymphadenopathy,3058.0
12,Chest xray,2467,Cavity,3059.0
12,Chest xray,2469,Pneumonothorax,3060.0
12,Chest xray,1138,Indeterminate,3240.0
12,Chest xray,1116,Abnormal,3241.0
12,Chest xray,1067,Unknown,3242.0
12,Chest xray,2618,Pneumothorax,3323.0
12,Chest xray,1903,Severe,4918.0
12,Chest xray,1900,Moderate,4919.0
12,Chest xray,1906,A little bit,4920.0
12,Chest xray,3399,Large,4921.0
12,Chest xray,3398,Small,4922.0
29,Hepatitis,7645,Acute,9350.0
29,Hepatitis,6408,Other,9351.0
29,Hepatitis,7646,Chronic,9352.0
29,Hepatitis,7567,Drug induced,9949.0
32,Malarial smear,664,Negative,9.0
32,Malarial smear,703,Positive,10.0
32,Malarial smear,1138,Indeterminate,11.0
43,Pneumonia,6408,Other,9433.0
43,Pneumonia,7703,Atypical,9434.0
43,Pneumonia,7704,Lobar,9435.0
43,Pneumonia,7702,Aspiration,9436.0
43,Pneumonia,7705,Pneumocystis,9437.0
43,Pneumonia,193,Bronchopneumonia,9438.0
45,Urine pregnancy test,664,Negative,12.0
45,Urine pregnancy test,703,Positive,13.0
45,Urine pregnancy test,1138,Indeterminate,14.0
50,Abortion,7170,Incomplete,8892.0
50,Abortion,1267,Completed,8893.0
50,Abortion,7169,Threatened,8894.0
50,Abortion,7596,Septic,9954.0
58,Tuberculosis,7658,Pulmonary,9500.0
58,Tuberculosis,7739,Disseminated,9501.0
58,Tuberculosis,7742,Tuberculous pericarditis,9502.0
58,Tuberculosis,7737,Abdominal,9503.0
58,Tuberculosis,7740,Miliary,9504.0
58,Tuberculosis,7741,Urogenital,9505.0
58,Tuberculosis,7738,Spinal,9506.0
58,Tuberculosis,6628,Meningitis tuberculous,9507.0
60,Meningitis,7668,Bacterial,9396.0
60,Meningitis,7681,Viral,9397.0
60,Meningitis,58,Tuberculosis,9398.0
60,Meningitis,7680,Cryptococcal,9399.0
60,Meningitis,7588,Other cause,9400.0
101,"X-ray, abdomen",1115,Normal,15.0
101,"X-ray, abdomen",1116,Abnormal,16.0
116,Arthritis,7595,Rheumatoid,9260.0
116,Arthritis,7596,Septic,9264.0
116,Arthritis,6588,Osteoarthritis,9265.0
116,Arthritis,6408,Other,9952.0
123,Malaria,6613,Severe anaemia,9386.0
123,Malaria,7673,Uncomplicated,9387.0
123,Malaria,3698,"Renal failure, acute",9388.0
123,Malaria,7676,Other complication,9389.0
123,Malaria,7674,Cerebral,9390.0
123,Malaria,7675,Respiratory distress,9391.0
175,Diabetes mellitus,7628,Diabetic polyneuropathy,9299.0
175,Diabetes mellitus,6408,Other,9300.0
175,Diabetes mellitus,7397,Ulcers,9301.0
175,Diabetes mellitus,6404,Diabetic ketoacidosis,9302.0
175,Diabetes mellitus,6545,Hyperglycaemia,9303.0
175,Diabetes mellitus,3729,Hypoglycemia,9304.0
175,Diabetes mellitus,7028,Diabetic retinopathy,9305.0
175,Diabetes mellitus,7388,Opportunistic infections,9306.0
175,Diabetes mellitus,7629,Hyper-osmolar non-ketotic diabetic coma,9307.0
175,Diabetes mellitus,7626,Diabetic lactic acidosis,9308.0
175,Diabetes mellitus,7627,Diabetic nephropathy,9309.0
197,Gastroenteritis,7645,Acute,9341.0
197,Gastroenteritis,6408,Other,9342.0
197,Gastroenteritis,7646,Chronic,9343.0
204,Candidiasis,7614,Vulvovaginal,9289.0
204,Candidiasis,3327,Oral,9290.0
204,Candidiasis,7615,Oesophageal,9291.0
206,Convulsions,7720,Petit mal,9466.0
206,Convulsions,7718,Grandmal,9467.0
206,Convulsions,7721,Status epilepticus,9468.0
206,Convulsions,7719,Focal,9469.0
206,Convulsions,7722,Known epileptic,9470.0
216,Leukaemia,6408,Other,9375.0
216,Leukaemia,7664,Acute lymphocytic,9376.0
216,Leukaemia,7665,Acute myeloid,9377.0
216,Leukaemia,7667,Chronic myeloid,9378.0
216,Leukaemia,7666,Chronic lymphocytic,9379.0
219,Psychosis,7711,Alcohol withdrawal,9447.0
219,Psychosis,7645,Acute,9448.0
219,Psychosis,7712,Organic,9449.0
219,Psychosis,6408,Other,9450.0
219,Psychosis,7710,Alcohol induced,9451.0
219,Psychosis,7646,Chronic,9452.0
219,Psychosis,7567,Drug induced,9453.0
299,Vdrl,1228,Reactive,17.0
299,Vdrl,1229,Non-reactive,18.0
300,Blood typing,690,A positive,19.0
300,Blood typing,692,A negative,20.0
300,Blood typing,694,B positive,21.0
300,Blood typing,696,B negative,22.0
300,Blood typing,699,O positive,23.0
300,Blood typing,701,O negative,24.0
300,Blood typing,1230,AB positive,25.0
300,Blood typing,1231,AB negative,26.0
309,"X-ray, other",1115,Normal,27.0
309,"X-ray, other",1116,Abnormal,28.0
363,Schistosomiasis,6435,Paraplegia,9460.0
363,Schistosomiasis,7716,Bladder cancer,9461.0
363,Schistosomiasis,6408,Other,9462.0
363,Schistosomiasis,7213,Chronic liver disease,9463.0
363,Schistosomiasis,7637,Dysentery,9464.0
363,Schistosomiasis,7717,Obstructive uropathy,9465.0
374,Method of family planning,5279,Injectable contraceptives,719.0
374,Method of family planning,5278,Diaphragm,720.0
374,Method of family planning,5275,Intrauterine device,721.0
374,Method of family planning,5622,Other non-coded,722.0
374,Method of family planning,5276,Hysterectomy,723.0
374,Method of family planning,190,Condoms,724.0
374,Method of family planning,780,Oral contraception,725.0
374,Method of family planning,5277,Natural family planning,726.0
374,Method of family planning,1720,Abstinence,1327.0
374,Method of family planning,1718,Norplant,1328.0
374,Method of family planning,1719,Tubal ligation,1329.0
374,Method of family planning,1721,Vasectomy,1330.0
374,Method of family planning,907,Depo-provera,1335.0
374,Method of family planning,1175,NOT applicable,2539.0
374,Method of family planning,1107,None,2540.0
374,Method of family planning,2712,Sterilization,3479.0
377,"X-ray, arm",1115,Normal,29.0
377,"X-ray, arm",1116,Abnormal,30.0
