drug_id,name,units
1,Triomune-30,tab(s)
2,Triomune-40,tab(s)
3,d4T (Stavudine 30mg tablet),tab(s)
4,d4T (Stavudine 40mg tablet),tab(s)
5,DDI (Didanosine 125mg tablet),tab(s)
6,DDI (Didanosine 200mg tablet),tab(s)
7,EFV (Efavirenz 600mg tablet),tab(s)
8,TDF (Tenofavir 300 mg tablet),tab(s)
9,S (Streptomycin 1gm vial),g
10,RIF or R (Rifampin 300mg tablet),tab(s)
11,RHZ (R60/H60/Z150),tab(s)
12,RHZE (R150/H75/Z400),tab(s)
13,RH (R150/H75),tab(s)
14,Z (Pyrazinamide 500mg tablet),tab(s)
15,NVP (Nevirapine syrup 1.5mL/dose in 25mL bottle),ml
16,NVP (Nevirapine 200 mg tablet),tab(s)
17,LPV/r (cold; Lopanavir and Ritonavir 166 mg tab),tab(s)
18,INH or H (Isoniazid 100mg tablet),tab(s)
19,FCZ (Fluconazole 150mg tablet),tab(s)
20,Fluconazole (200mg tablet),tab(s)
21,E (Ethambutol 400mg tablet),tab(s)
22,EFV (Efavirenz 100mg tablet),tab(s)
23,EFV (Efavirenz 50mg tablet),tab(s)
24,EFV (Efavirenz 200mg tablet),tab(s)
25,d4T (Stavudine 20mg tablet),tab(s)
26,d4T (Stavudine 15mg tablet),tab(s)
27,TMP/SMX (Cotrimoxazole 800/160mg tablet),tab(s)
28,TMP/SMX (Cotrimoxazole 400/80mg tablet),tab(s)
29,TMP/SMX (Cotrimoxazole 200/40mg tablet),tab(s)
30,AZT (Zidovudine syrup 10mg/mL from 100ml bottle),ml
31,AZT (Zidovudine 100mg tablet),tab(s)
32,AZT (Zidovudine 300mg tablet),tab(s)
33,AZT/3TC (Zidovudine and Lamivudine 300/150mg),tab(s)
34,ABC (Abacavir 300mg tablet),tab(s)
35,3TC (Lamivudine syrup 10mg/mL from 100mL bottle),ml
36,3TC (Lamivudine 150mg tablet),tab(s)
37,INH or H (Isoniazid) no dose strength ,mg
38,RIF or R (Rifampin) no dose strength,mg
39,E (Ethambutol) no dose strength,mg
40,Z (Pyrazinamide mg ) no dose strength,mg
41,S (Streptomycin) no dose strength,mg
42,KM (Kanamycin 1gm vial),g
43,AMK (Amikacin 500mg/2mL ),mg/2mL
44,CM (Capreomicin 1g vial ),g
45,VI (Viomycin),tab(s)
46,CPX (Ciprofloxacin),mg
47,OFX (Ofloxacin),1128
48,LFX (Levofloxacin),mg
49,Moxi (Moxifloxacin 400mg tablet),tab(s)
50,Gati (Gatifloxacin 400 mg tablet),tab(s)
51,Et(Ethionamide 250mg tablet),tab(s)
52,CS (Cycloserine 250mg tablet),tab(s)
53,Prothio (Prothionamide 250mg tablet),tab(s)
54,TRD (Terizidone 250mg tablet),tab(s)
55,ORS (100ml per loose stool/vomit-2 sachet),units
56,CFZ (Clofazimine),mg
57,AMX/CLV (Amoxicillin/Clavulantic Acid 500/125mg ta,tab(s)
58,Clarithromycin (500mg tablet),tab(s)
59,RFB (Rifabutin 150mg tablet ),tab(s)
60,B6 (Pyridoxine),mg
61,IDV (Indinavir 400mg tablet),tab(s)
62,Standard tuberculosis treatment,
63,LS30 (Stavudine and Lamivudine 30mg tablet),tab(s)
64,Lamivir baby (Stavudine and Lamivudine 6/30mg tabl,tab(s)
65,Triomune baby (d4T/3TC/NVP 6/30/50mg tablet),tab(s)
66,LPV/r (Lopinavir and Ritonavir 200/50mg tablet),tab(s)
67,LPV/r (Lopinavir and Ritonavir 100/25mg tablet),tab(s)
68,CFZ (Clofazimine 100mg tablet),tab(s)
69,Pyridoxine (50mg),tab(s)
70,Pyridoxine (100mg),tab(s)
71,Pyridoxine (300mg),tab(s)
72,Lfx (Levofloxacin 250mg tablet),tab(s)
73,OFX (Ofloxacin 200mg tablet),tab(s)
74,OFX (Ofloxacin 300mg tablet),tab(s)
75,OFX (Ofloxacin 400mg tablet),tab(s)
76,Pyridoxine (25mg),tab(s)
77,CFZ (Clofazimine 50mg tablet),tab(s)
78,Atenolol (25mg tablet),tab(s)
79,Ciprofloxacin (500mg tablet),tab(s)
80,LFX (Levofloxacin 500mg tablet),tab(s)
81,RHE (Rifampicin Isoniazid and Ethambutol -1-1-mg t,tab(s)
82,Zidolam,tab(s)
83,Coviro30 (Lamivudine + Stavudine 150/30 mg tablet),tab(s)
84,Coviro40 (Lamivudine + Stavudine 150/40mg tablet),tab(s)
85,MVI (multivitamin syrup),ml
86,MVI (multivitamin tablet),tab(s)
87,LPV/r (Lopinavir and Ritonavir syrup),ml
88,d4T (Stavudine syrup),ml
89,Amitriptyline (25mg tablets),tab(s)
90,Chlorphenamine (4mg tablet),tab(s)
91,Cloxacillin (tablet),tab(s)
92,CPT (Cotrimoxazole 240mg/5ml suspension),ml
93,Vincristine Sulphate (1mg PFR),tab(s)
94,Bleomycin for Injection USP,mg/m2
95,Paclitaxel (Taxol) Injection,mg/m2
96,E (Ethambutol 100mg tablet),tab(s)
97,Duovir-N,tab(s)
98,Acyclovir (200mg tablet),tab(s)
99,Albendazole (200mg tablet),tab(s)
100,Albendazole (400mg tablet),tab(s)
101,Aminophylline (100mg tablet),tab(s)
102,Amoxicillin + Clavulanic Acid (375mg tablet),tab(s)
103,Amoxicillin (125mg tablet),tab(s)
104,Amoxicillin (250mg capsule),tab(s)
105,Amoxicillin (250mg tablet),tab(s)
106,Amoxicillin (500mg capsule),tab(s)
107,Ampicillin (1mg ampulle),tab(s)
108,Aspirin (300mg tablet),tab(s)
109,Atenolol (100mg tablet),tab(s)
110,Atenolol (50mg tablet),tab(s)
111,Azithromycin (250mg tablet),tab(s)
112,Pyridoxine (60mg),tab(s)
113,Beclometasone Cream BP (15g tube),application
114,Beclometasone Pressurised Inhalation (50mg dose),dose
115,Benzyl Benzoate (25% topical 1000ml),application
116,Betamethasone Valerate (.1% 15mg tube),application
117,Calamine Lotion (100ml tube),application
118,Calamine Lotion (500ml tube),application
119,Carbamazepine (200mg tablet),tab(s)
120,Ceftriaxone (1 g ampulle),g
121,Ceftriaxone (250mg ampulle),tab(s)
122,Chloramphenicol 125mg/5ml susp (100ml bottle),ml
123,Chloramphenicol 10% ear drops (10ml bottle),drop(s)
124,Chloramphenicol (125mg tablet),tab(s)
125,Chloramphenicol (250mg capsule),tab(s)
126,Chloramphenicol eye ointment (5mg tube),application
127,Chloramphenicol Sodium (1g ampulle),g
128,Chlorphenamine (10 mg ampulle),tab(s)
129,Chlorphenamine (100mg tablet),tab(s)
130,Chlorphenamine (25mg tablet),tab(s)
131,Chlorphenamine (50mg tablet),tab(s)
132,Chlorpromazine (100mg tablet),tab(s)
133,Chlorpromazine (25mg tablet),tab(s)
134,Chlorpromazine (50mg tablet),tab(s)
135,Cimetidine (200mg tablet),tab(s)
136,Cimetidine (400mg tablet),tab(s)
137,Ciprofloxacin ear/eye drops (5ml bottle),drop(s)
138,Clotrimazole Cream 1% (20g tube),application
139,Cloxacillin (125mg suspension),tab(s)
140,Cloxacillin (250mg tablet),tab(s)
141,Cloxacillin (250mg capsule),tab(s)
142,Cloxacillin (500mg capsule),tab(s)
143,Cloxacillin 500milligram Capsule,mg
144,Dapsone (100mg tablet),tab(s)
145,Diazepam 5mg/ml (2ml ampulle),ml
146,Diazepam (5mg tablet),tab(s)
147,Diclofenac Sodium (50mg tablet),tab(s)
148,Diclofenac injection (25mg),mg (injection)
149,Dihydrocodeine (30mg tablet),tab(s)
150,Doxycycline (100mg capsule),tab(s)
151,Erythromycin (125mg/5ml suspension),ml
152,Erythromycin (250mg tablet),tab(s)
153,Ferrous sulphate + folic acid (200mg+250mcg tablet,tab(s)
154,Ferrous sulphate (200mg tablet),tab(s)
155,Folic Acid (5mg tablet),tab(s)
156,Furosemide (40mg tablet),tab(s)
157,Gentamicine 0.3% Eye Drops (1nl),drop(s)
158,Gentamicine (40mg ampulle),tab(s)
159,Hydralazine (25mg tablet),tab(s)
160,Hydrochlorothiazide (25mg tablet),tab(s)
161,Hydrocortisone acetate 25mg/ml,ml
162,Hydrocortisone Cream 1% (15g tube),application
163,Ibuprofen (100mg capsule),tab(s)
164,Ibuprofen (200mg tablet),tab(s)
165,Ibuprofen (400mg tablet),tab(s)
166,Imipramine Hcl (25mg tablet),tab(s)
167,Indomethacin (25mg capsule),tab(s)
168,Ketoconazole (200mg tablet),tab(s)
169,Lamivudine (5ml bottle),ml
170,Loperamide HCl (2mg tablet),tab(s)
171,Magnesium trisilicate compound (250mg tablet),tab(s)
172,Methyldopa (250mg tablet),tab(s)
173,Metoclopramide (10mg tablet),tab(s)
174,Metronidazole .5% (5mg ampulle),tab(s)
175,Metronidazole (250mg tablet),tab(s)
176,Miconazole 2% cream (30g tube),application
177,Miconazole oral gel (20mg tube),application
178,Nalidixic Acid (1g),g
179,"Nystatin (100,000 IU tablet)",tab(s)
180,"Nystatin susp 100,000 IU/dose (30ml bottle)",ml
181,Omeprazole (20mg),tab(s)
182,ORS (Oral Rehydration Salt 20g/dose),unit(s)
183,Paracetamol (5ml),ml
