concept_id,name
1,"Anemia, blood loss"
2,"Anemia, hemolysis"
3,Anemia
4,Asthma exacerbation
5,Asthma
6,BCG
7,Gallstones
8,Biliary tract disease not otherwise specified
9,Blood sugar
10,"Bronchitis, acute"
11,"Bronchitis, recurrent"
13,Pills
14,"Diarrhea, parasite"
15,"Diarrhea, cholera"
16,Diarrhea
17,Diptheria tetanus booster
18,DPT vaccination
19,DPT vaccination No.2
20,DPT vaccination No.3
21,Hemoglobin
22,Hepatitis A vaccination
23,Hepatitis B vaccination
24,Hepatitis B vax No.2
25,Hepatitis B vax No.3
26,Hepatitis A
27,Hepatitis B
28,Hepatitis C
29,Hepatitis
30,HIV pos
31,Services ordered
32,Malarial smear
33,"Malaria, mild"
34,"Malaria, severe"
35,"Malaria, presumed"
36,Measles vaccination
37,Menstrual dysfunction
38,Oral polio vaccination
39,Oral polio vax No.2
40,Oral polio vax No.3
41,Papanicolaou smear
42,Pulmonary tuberculosis
43,Pneumonia
44,Pregnancy
45,Urine pregnancy test
46,Ectopic pregnancy
47,"Pregnancy, hypertension associated"
48,"Pregnancy, miscarriage"
49,Postpartum hemorrhage
50,Abortion
51,Rickets
52,Scurvy
53,Stool microscopy
54,Tetanus booster
55,Urinary tract infection
56,Urine microscopy
57,Yellow fever
58,Tuberculosis
59,Leprosy
60,Meningitis
61,Whooping cough
62,Chicken pox
63,Measles
64,Mumps
65,Gonorrhoea
66,Bilharzia
67,Intestinal worms
68,Malnutrition
69,Eye infections
70,Cataract
71,Ear disorders
72,Circulatory disease
73,Respiratory disease nos
74,Disease of puerperium and childbirth
75,Neoplasm
76,Disease of blood and blood forming organs
77,Mental disorders
78,Dental disorders
79,Skin disorders
80,Joint pain
81,Congenital disorders
82,Pyrexia of unknown origon(PUO)
83,"Toxicity, NOT otherwise specified"
84,"Accident, NOT otherwise specified"
85,Unclassified diseases
86,"Road Traffic Accidents, RTA"
87,Sulfadoxine and Pyrimethamine
88,Aspirin
89,Paracetamol
90,Penicillin V (oral) tabs
91,Trimethoprim
92,Dapsone
93,Cotrimoxazole
94,Betadine
95,Doxycycline
96,Mefloquine
97,Proguanil
98,Chloroquine
99,Furosemide
100,Gentamicin
101,"X-ray, abdomen"
102,"Toxicity, drug"
103,HIV antibody
104,AIDS
105,Intravenous drug use
106,Upper respiratory tract infection
107,Cough
108,Bronchospasm
109,"Wound, septic"
110,Laceration
111,Dyspepsia
112,Tonsillitis
113,Furunculosis
114,Otitis media
115,Mastitis
116,Arthritis
117,Conjunctivitis
118,Eye problem other
119,Dermatitis
120,"Dermatitis, allergic"
121,Myalgia
122,Chicken pox
123,Malaria
124,Amoebiasis
125,Head injury
126,Gingivitis
127,Dysmenorrhoea
128,"Wound, deep"
129,"Rhinitis, allergic"
130,Puerperal sepsis
131,Dental caries
132,Sty
133,Goiter
134,Cellulitis
135,Burns
136,Chest pain
137,Asthma
138,Abscess
139,Vaginitis
140,Scabies
141,Typhoid fever
142,Allergic reaction
143,Lumbago
144,Tinea capitis
145,Labor pain
146,"Labor pain, false"
147,Bronchitis
148,Injury
149,Cervicitis
150,Pharyngitis
151,Abdominal pain
152,Dysentery
153,Gud
154,PUD
155,Epilepsy
156,Wound nos
157,Fever nos
158,PID
159,Deceased
160,Brucellosis
161,Lymphadenopathy
162,Polymenorrhea
163,Foreign body
164,Worms nos
166,"Bite, dog"
167,"Bite, animal"
168,"Bite, human"
169,Urethritis
170,Rheumatism
171,Fungal infection
172,Gastritis
173,Epistaxis
174,STI
175,Diabetes mellitus
176,Assault
177,Fracture
178,"Fracture, colles"
179,RTA
180,Shoulder dislocation
181,Contaminated needle stick
182,Cyst
183,
184,Bruise
185,Cholecystitis
186,Abortion
187,"Abortion, incomplete"
188,"Rash, septic"
189,"Malaria, rule out"
190,Condoms
191,Depo provera
192,HVS test
193,Bronchopneumonia
194,Pneumonia bronchial
195,Skin infection nos
196,Infection skin
197,Gastroenteritis
198,Cholera
199,Helminthiasis
200,Soft tissue injury
201,Appendicitis
202,Rheumatoid arthritis
203,Arthritis rheumatoid
204,Candidiasis
205,Convulsion
206,Convulsions
207,Depression
208,Duodenal ulcer
209,Ulcer duodenal
210,Peptic ulcer
211,Ulcer peptic nos
212,Gastric ulcer
213,Ulcer gastric
214,Road traffic accident
215,Jaundice
216,Leukaemia
217,Leukemia
218,Otitis externa
219,Psychosis
220,RHD
221,Rheumatic heart disease
222,Sinusitis
223,Syphilis
224,UTI
225,Diabetes insipidus
226,Neonatal sepsis
227,Sepsis neonatal
228,Antepartum hemorrhage
229,Hemorrhage antepartum
230,Postpartum hemorrhage
231,Hemorrhage postpartum
232,ASA
233,Lariam
234,Brufen
235,Tinidazole
236,Flagyl
237,Metronidazole
238,Phenobarbital
239,Ventolin
240,Salbutamol tabs
241,Amodiaquin
242,Piriton
243,Quinine
244,Mebendazole
245,Vermox
246,Piperazine
247,Diazepam
248,Largactil
249,Artane
250,Nifedipine
251,Methyldopa
252,Aldomet
253,Inderal
254,Propranolol
255,Lasix
256,Ferrous sulfate
257,Folic acid
258,Folate
259,Diabenese
260,Chlorpropramide
261,Septrin
262,Indocid
263,Indomethacin
264,Amoxyl
265,Amoxicillin
266,Chloramphenicol
267,Augmentin syrup
268,Nalidixic acid
269,Ampicillin
270,Tetracycline
271,Lincomycin
272,Erythromycin
273,Phenytoin
274,Dilantin
275,Tetracycline eye ointment
276,Chloramphenicol drops
277,Buscopan
278,Insulin lente
279,"Insulin, lente"
280,Soluble insulin
281,Regular insulin
282,"Insulin, soluble"
283,Hydrocortisone ointment
284,Whitfield ointment
285,Clotrimazole pessaries
286,Daktarin
287,Nystatin drops
288,Quinine injection
289,Chloramphenicol injection
290,Hydrocortisone
291,Crystapen injection
292,Penicillin injection
293,Ampicillin injection
294,Ampicillin and cloxacillin
295,Thrush
296,Candidiasis oral
297,Vaginal candidiasis
298,"Candidiasis, vaginal"
299,Vdrl
300,Blood typing
301,HB
302,Urinalysis
303,UA
304,Stool exam
305,Brucella test
306,Widal test
307,Sputum for acid fast bacilli
308,AFB smear sputum
309,"X-ray, other"
310,Services other
311,Other services
312,Tegretol
313,Hydrogen peroxide
314,Magnesium trisilicate
315,Amodiaquin syrup
316,Benyline syrup
317,Deep heat
318,Elyvate cream
319,Ferrum b syrup
320,Grabacin powder
321,Candid B cream
322,Candid mouth paint
323,Gentian violet
324,Celestamine
325,Cloxacillin syrup
326,Cloxacillin tabs
327,Cotrimazole cream
328,Ventolin inhaler
329,Vitamin B complex
330,Zantac tablets
331,Quinine syrup
332,Fansidar sysrup
333,Ampiclox neonatal drops
334,Triple pen injection
335,Ampiclox suspension
336,Annusol suppositories
337,Antihistamine cream
338,Cadiphen syrup
339,Halfan tabs
340,Halfan syrup
341,Nizoral tabs
342,Sulfalene and pyramethamine
343,Flagyl injection
344,Ergotamine injection
345,Modecate injection
346,Adrenaline injection
347,Aminophyline injection
348,Norfloxacin
349,Hydralazine tablets
350,Hydralazine injection
351,Oral rehydration salts
352,Amoxyl syrup
353,Septrin syrup
354,Piriton tabs
355,Piriton syrup
356,Penicillin V syrup
357,Salbutamol syrup
358,Dextromethorphan
359,Coscof syrup
360,Actifed
361,Laroxyl tabs
362,Fasigyn
363,Schistosomiasis
364,"Malaria, clinical"
365,"Wound, pierce"
366,Synovitis
367,"Poisoning, food"
368,"Toxicity, food"
369,Allergic rhinitis
370,Urethritis
371,Pellagra
372,Allergic reaction
373,"STI,males"
374,Method of family planning
375,X-ray chest
376,X-ray abdomen
377,"X-ray, arm"
378,X-ray arm
379,Burning sensation
380,"X-ray, leg"
381,X-ray leg
382,"X-ray, hand"
383,X-ray hand
384,"X-ray, foot"
385,X-ray foot
386,"X-ray, skull"
387,X-ray skull
388,X-ray head
389,X-ray spine
390,"X-ray, spine"
391,X-ray pelvis
392,"X-ray, pelvis"
393,X-ray shoulder
394,"X-ray, shoulder"
395,X-ray other
396,Other x-ray
397,Clinical malaria
398,Oral polio vax no.0
399,Polio vax no.0
400,Polio vax no.1
401,Polio vax no.2
402,Polio vax no.3
403,Metakelfin tablets
404,Ketrax tablets
405,Ketrax syrup
406,Adalat tablets
407,Panadur injection
408,Paraphimosis
409,Benzyl benzoate emulsion
410,Dog bite
411,PPF
412,ARV
413,Rabies vaccination
414,Anti-rabies vaccine
415,T(apostrophe)pen
416,T-pen
417,T pen
418,Rule out
419,Rule-out
420,R/O
421,Augmentin tab
422,"Eye ointment, tetracycline"
423,Teo
424,Fungal infection skin
425,Fungal skin infection
426,"Skin infection, fungal"
427,Dermazine cream
428,Gastroenteritis
429,Loperamide
430,Imodium
431,Hyoscine butylbromide
432,"Medical examination, routine"
433,"Routine, medical examination"
434,Nystatin pessorial
435,Nystatin suppository
436,Diclofenac
437,Streptomycin injection
438,Streptomycin
439,Streptomycin tablets
440,Diprosalic cream
441,Clean and dressing
442,Erythromycin syrup
443,Gabbroral syrup
444,Gabbroral tabs
445,Gabbroral
446,Aluminum hydroxide
447,Floxacillin
448,Silverex cream
449,Normaxicillin
450,Amoxicillin and clavulanic acid
451,"Arthritis, knee"
452,"Knee, arthritis"
453,Panadol
454,"Worms, intestinal"
455,Spondlosis
456,Back pain
457,TT1
458,TT2
459,Zentel tablets
460,Edema 
461,Multivitamin
462,Allergic rash
463,Proebenecid
464,Hycomycin eye drops
465,Mist-antacids
466,Paracetamol syrup
467,Schizophrenia
468,Calpol
469,Actifed syrup
470,Valium injection
471,Injection valium
472,Celebral palsy
473,Fefol syrup
474,Flagyl syrup
475,Brufen syrup
476,Fansidar injection
477,Hydrocortizone eye drops
478,Tinidazole
479,Camoquin
480,Spectinomycin
481,Dislocation
482,"Pneumonia, lobar"
483,Goitre
484,Multiple bruises
485,Bruises multiple
486,Sulphur ointment
487,"Dementia, senile"
488,Senile dementia
489,Coryza
490,Hyperemesis gravidarum
491,Prednisone
492,"Anti-venin, snake"
493,Calamine lotion
