encounter_type_id,name
1,ADULTINITIAL
2,ADULTRETURN
3,PEDSINITIAL
4,PEDSRETURN
5,REGISTRATION
6,VITALS
7,APPOINTMENT
8,OUTPATIENT DIAGNOSIS
9,HIV CLINIC REGISTRATION
10,ART_FOLLOWUP
11,PART_INITIAL
12,PART_FOLLOWUP
13,LAB
14,TB_INITIAL
15,TB_FOLLOWUP
17,PATIENT EVALUATION
20,EID_INITIAL
21,EID_FOLLOWUP
22,Bacteriology Result
23,DST Result
24,CHEMOTHERAPY
25,TREATMENT
26,REQUEST
27,ADMINISTRATION
28,EXAMINATION
29,DIABETES HYPERTENSION INITIAL VISIT
30,MEDICAL HISTORY
31,COMPLICATIONS
32,LAB RESULTS
33,EYE COMPLICATIONS
34,NEURALGIC COMPLICATIONS
35,CARDIOVASCULAR COMPLICATIONS
36,RENAL COMPLICATIONS
37,ENDOCRINE COMPLICATIONS
38,DIABETES TEST
39,UPDATE HIV STATUS
40,PATIENT OUTCOME
41,DIAGNOSIS
42,ADMIT PATIENT
43,DIABETES HISTORY
44,DIABETES TREATMENTS
46,PAST DIABETES MEDICAL HISTORY
47,INITIAL DIABETES COMPLICATIONS
48,HYPERTENSION MANAGEMENT
49,GENERAL HEALTH
51,HIV RECEPTION
52,HIV STAGING
53,HIV CLINIC CONSULTATION
54,DISPENSING
55,LABEL SPECIMENS
56,INFLUENZA DATA
57,LAB ORDERS
58,CHRONIC CONDITIONS
59,MATERNITY DIAGNOSIS
61,MARTENITY VISIT
62,IS PATIENT REFERRED?
63,REFER PATIENT OUT?
64,ACTUAL DIAGNOSIS
65,DIABETES INITIAL QUESTIONS
66,TRANSFER OUT
67,CHRONIC CARE VISIT
68,ART ADHERENCE
69,CHRONIC_CARE_FOLLOWUP
70,SPUTUM SUBMISSION
71,TIPS AND REMINDERS
72,MATERNAL HEALTH SYMPTOMS
73,CHILD HEALTH SYMPTOMS
74,DEFAULTER TRACING START
75,DEFAULTER TRACING STOP
76,UPDATE PREGNANCY STATUS
77,TB RECEPTION
78,TB REGISTRATION
79,ART Enrollment
80,OUTPATIENT RECEPTION
81,CURRENT PREGNANCY
82,OBSTETRIC HISTORY
83,SURGICAL HISTORY
84,SOCIAL HISTORY
85,TB VISIT
86,TB CLINIC VISIT
87,TB ADHERENCE
88,GIVE LAB RESULTS
90,BABY DELIVERY
92,EXPOSED_CHILD_INITIAL
93,EXPOSED_CHILD_FOLLOWUP
94,SOURCE OF REFERRAL
95,MATERNITY EXAMINATION
97,PATIENT ADMISSIONS
98,ANC EXAMINATION
99,PROCEDURES DONE
100,ADMISSION DIAGNOSIS
101,DISCHARGE DIAGNOSIS
102,VAGINAL EXAMINATION
103,PHYSICAL EXAMINATION
104,PATIENT REGISTRATION
105,NOTES
106,DISCHARGE PATIENT
107,ANC VISIT TYPE
111,PREGNANCY STATUS
112,FILM
113,SCREENING
114,REFERRAL
115,CURRENT BBA DELIVERY
116,ABDOMINAL EXAMINATION
117,PHYSICAL EXAMINATION BABY
119,EXIT FROM HIV CARE
121,RADIOLOGY EXAMINATION
122,PRESENTING COMPLAINTS
123,SOCIAL DETERMINANTS
124,REFERRAL DIAGNOSIS
125,INPATIENT DIAGNOSIS
127,UPDATE BABY OUTCOME
128,KANGAROO REVIEW VISIT
129,PMTCT HISTORY
130,HIV STATUS AT ENROLLMENT
131,RAPID ANTIBODY TEST
132,DNA-PCR TEST
133,EID VISIT
134,IMMUNIZATION RECORD
135,VITAMIN A SUPPLEMENTATION AND DE-WORMING SCHEDULE
136,REASON FOR SPECIAL CARE
137,INITIAL NEW-BORN RECORD
138,ASSESSMENT AT ONE WEEK POSTNATAL CHECK
139,FAMILY MEDICAL HISTORY
140,UNDER 5 VISIT
141,ASSESSMENT
142,ASTHMA MEASURE
143,DRUGS GIVEN
144,EPILEPSY CLINIC VISIT
145,Referral Consent Confirmation
146,HIV Testing
147,IN WAITING
148,IN SESSION
149,Counseling
150,BIRTH PLAN
151,ANC VISIT
152,HSA VISIT
153,QUALITY CONTROL TEST
154,CERVICAL CANCER SCREENING
156,FAST TRACK ASSESMENT
157,GENITAL EXAMINATION
158,CIRCUMCISION
159,POST-OP REVIEW
160,FOLLOW UP
161,SUMMARY ASSESSMENT
162,REGISTRATION CONSENT
163,HTS Visit
164,Confirmatory HIV Testing
165,POST-OP VITALS
166,SECOND POST-OP REVIEW
167,THIRD POST-OP REVIEW
168,General Consultation
169,Obstetrics and Gynecology
170,ORTHOPEDIC VISIT
171,PRESCRIPTION
172,SKIN VISIT
173,INTENSIVE CARE UNIT
174,DENTAL VISIT
175,ART VISIT
176,VMMC VISIT
177,UNDER_FIVE VISIT
178,EXIT FROM CARE
179,REGIMEN INITIAL
180,REGIMEN CHANGE
181,CxCa test
182,CxCa treatment
183,CxCa reception
184,CxCa referral feedback
185,CxCa results
186,CxCa screening result
187,CxCa test
188,CxCa treatment
189,CxCa reception
191,CxCa results
192,CxCa screening result
193,TRIAGE PRESENTING COMPLAINTS
194,Partner Reception
195,HTS Contact
196,ITEMS GIVEN
197,Testing
198,RECENCY
199,DBS ORDER
200,SYMPTOM SCREENING
201,AHD SCREENING
