program_id,name
1,HIV PROGRAM
2,TB PROGRAM
3,VHW PROGRAM
4,EARLY INFANT DIAGNOSIS PROGRAM
5,MDR-TB PROGRAM
6,KAPOSIS SARCOMA PROGRAM
10,CHRONIC CARE PROGRAM
11,MATERNITY PROGRAM
12,ANC PROGRAM
13,DIABETES PROGRAM
14,OPD Program
15,IPD Program
16,UNDER 5 PROGRAM
17,CIVIL REGISTRATION PROGRAM
18,HTC PROGRAM
19,ANC CONNECT PROGRAM
20,HYPERTENSION PROGRAM
21,VMMC PROGRAM
22,IPT Program
23,Laboratory program
24,CxCa program
27,Triage Program
28,RADIOLOGY PROGRAM
29,PATIENT REGISTRATION PROGRAM
30,AETC PROGRAM
31,SPINE PROGRAM
32,NCD PROGRAM
33,IMMUNIZATION PROGRAM
34,PNC PROGRAM
35,LABOUR AND DELIVERY PROGRAM
36,MEMIS PROGRAM
37,HTS PROGRAM
38,NEONATAL PROGRAM
