user_id,role
59b392e6-8ac0-11e1-b88f-544249e32ba2,Clinician
59b392e6-8ac0-11e1-b88f-544249e32ba2,"Superuser,Superuser,"
59b392e6-8ac0-11e1-b88f-544249e32ba2,System Developer
3819ce3e-df0e-42d6-9996-11f1c8645416,Lab
aaa69cb4-54aa-43ad-bb2a-e47307cad5d0,Clinician
aaa69cb4-54aa-43ad-bb2a-e47307cad5d0,Provider
aaa69cb4-54aa-43ad-bb2a-e47307cad5d0,Superuser
e17e6093-40c7-4572-9ad9-0bb11d0a6f07,Lab
8c3db5a5-4a7f-4111-b2e3-fcb9ffaae64a,Superuser
dc940cca-d975-4358-8dfb-403aa215cf4f,Provider
5defb066-9fdf-48e8-b26f-ff4245b73d93,District Superuser
5defb066-9fdf-48e8-b26f-ff4245b73d93,Superuser
5defb066-9fdf-48e8-b26f-ff4245b73d93,"Superuser,Superuser,"
c1ae40f0-2fe7-4e0e-9a4c-f7295487a50e,General Registration Clerk
8c38bbe5-24db-44df-a416-e08ac06d07f1,General Registration Clerk
8c38bbe5-24db-44df-a416-e08ac06d07f1,Registration Clerk
1ca9e9fd-1110-4431-8f7f-5533a7641a02,General Registration Clerk
1ca9e9fd-1110-4431-8f7f-5533a7641a02,Registration Clerk
7f784b82-0244-4a59-b772-da6ad614d397,General Registration Clerk
7f784b82-0244-4a59-b772-da6ad614d397,Registration Clerk
04fd0cb8-ea43-491a-8c52-e8e8197041e8,General Registration Clerk
04fd0cb8-ea43-491a-8c52-e8e8197041e8,Registration Clerk
c82041b3-27e8-4820-8efb-f68c920f0c14,Clinician
c82041b3-27e8-4820-8efb-f68c920f0c14,"Superuser,Superuser,"
be0255cb-0cdf-4572-8a9b-1723a9f00400,Clinician
10c9b9e3-be32-415a-9801-e0ab144145cf,Clinician
9cb2133f-0efb-4d23-adb2-6327ecbbd7b8,Lab
a742f035-0fa6-4e37-850f-0f6efd8eb197,Lab
080d65f8-9aaf-48e2-b149-beb8c89e8900,Lab
bc82cf68-c95b-435e-9653-e486a5ace190,Nurse
75ac8472-af31-4932-aefc-fd8db841a0ee,Nurse
833f0fce-ad9e-42cd-aef0-e9ec9d8afa83,Nurse
c306f8a9-f7ed-4657-83cc-895c1676d7ca,Pharmacist
c189642e-e642-4b29-b3f0-9c0d590b648d,Pharmacist
ab920b39-184f-46e2-abab-eb297bbc3194,Pharmacist
27fc65a7-7342-4753-bbf5-713a26b5981a,Clinician
27fc65a7-7342-4753-bbf5-713a26b5981a,HSA
27fc65a7-7342-4753-bbf5-713a26b5981a,Nurse
27fc65a7-7342-4753-bbf5-713a26b5981a,Superuser
27fc65a7-7342-4753-bbf5-713a26b5981a,"Superuser,Superuser,"
48114f11-b8c5-4025-bab9-656bc33b1032,Clinician
48114f11-b8c5-4025-bab9-656bc33b1032,Superuser
69e43ef3-560a-43ac-927f-752fab8d2800,Clinician
69e43ef3-560a-43ac-927f-752fab8d2800,Data Assistant
69e43ef3-560a-43ac-927f-752fab8d2800,General Registration Clerk
69e43ef3-560a-43ac-927f-752fab8d2800,Nurse
69e43ef3-560a-43ac-927f-752fab8d2800,SPINE clinician
69e43ef3-560a-43ac-927f-752fab8d2800,Vitals Clerk
1c09d042-5b55-4d88-b362-b3d93b926215,General Registration Clerk
1c09d042-5b55-4d88-b362-b3d93b926215,Registration Clerk
b78e1ae2-0044-41ea-af65-a945b86c760d,General Registration Clerk
b78e1ae2-0044-41ea-af65-a945b86c760d,Registration Clerk
e6a40a42-88d3-443a-bff0-c482f91563fc,Clinician
e6a40a42-88d3-443a-bff0-c482f91563fc,Nurse
f01f8049-5c24-4cd3-af25-98813c6510b2,Clinician
f01f8049-5c24-4cd3-af25-98813c6510b2,Nurse
9bae8972-37b2-49f8-b002-3cbb2b3424d5,Clinician
9bae8972-37b2-49f8-b002-3cbb2b3424d5,Superuser
ed2ddccf-bcda-44d6-978f-8a9ae4aa7bc0,Pharmacist
aac0ef88-9d4a-4187-8274-f2e697abc661,Lab
f5a9153f-bc5e-47e9-93e4-61da0c629842,Superuser
f5a9153f-bc5e-47e9-93e4-61da0c629842,"Superuser,Superuser,"
82b01953-0bbc-461f-bc37-51d6e9b9ee83,Clinician
82b01953-0bbc-461f-bc37-51d6e9b9ee83,Superuser
82b01953-0bbc-461f-bc37-51d6e9b9ee83,"Superuser,Superuser,"
1864b4a0-b766-4dc8-94a4-f9477a9d9d36,Superuser
1864b4a0-b766-4dc8-94a4-f9477a9d9d36,"Superuser,Superuser,"
62822be2-99e6-4e27-8784-51cf9344f2ec,Superuser
62822be2-99e6-4e27-8784-51cf9344f2ec,"Superuser,Superuser,"
0b8151af-3123-460d-9d95-156254070004,"Superuser,Superuser,"
40c102ef-9733-4138-9726-1bb038fb2c2b,Clinician
5f1a3ece-d425-4e81-8311-e249c6524869,Clinician
8e84db71-d7a1-45ba-9ad4-a029547d9cec,Clinician
7244ccd0-8333-4020-b75a-8702a2d0ddb8,Clinician
ccdb8245-bdbc-4f81-ac9a-adc2c279ff8c,Clinician
f8fe5a78-def8-4b26-88be-6af5d4cc5d54,Clinician
e4cf5508-9098-4d9d-9a20-4c3b0a3c7392,Clinician
95f445d7-3902-4053-8ac2-2027e1df4ae3,Superuser
497e01ab-69d0-454d-8362-26ee82b5809c,Clinician
497e01ab-69d0-454d-8362-26ee82b5809c,Provider
497e01ab-69d0-454d-8362-26ee82b5809c,Superuser
497e01ab-69d0-454d-8362-26ee82b5809c,Supervisor
